number0,system_nam,owner_type,d_prin_cit,d_prin_cnt,d_fed_prim,d_populati,d_ttl_stor,d_pws_fed_,has_nmdwb_data,num_gw_facilities,has_gw_facilities_ind,num_sw_gu_facilities,num_sw_facilities,num_gu_facilities,has_sw_facilities_ind,has_gu_facilities_ind,surface_ground_facility_type,surf_wtr_ratio_if_spws,surf_wtr_pur_ratio_if_spws,grnd_wtr_udi_ratio_if_spws,grnd_wtr_udi_purch_if_spws,surface_pws,surface_ratio_if_spws,has_source_ratio_surface_pws,mhi_2010,has_mhi_data,has_drinking_water_data,ratio_pws_mhi_over_state_mhi,disadvantage_status_type,total_intakes,sw_intakes,gw_intakes,gu_intakes,total_gu_sw_intakes,alternative_intakes,impacted_sw_intakes,impacted_gu_intakes,impacted_gu_sw_water_intakes,ratio_impacted_gu_sw_over_all,ratio_gu_sw_impacted_over_gu_sw,has_surface_intake_geo_info,seller_number0_1,seller_system_name_1,seller_pop_1,seller_number0_2,seller_system_name_2,seller_pop_2,surfacepurchaser_status,has_surfacepurchase_data,wotus2020_dwv_index,seller_wotus2020_dwv_index_1,seller_wotus2020_dwv_index_2,index_summary
NM3523728,SOCORRO WATER SYSTEM,L,SOCORRO,SOCORRO,GW,11578,2734000,C,Yes,5,1,0,0,0,0,0,Ground,,,,,0,,1,37313.5,Yes,Yes,.77641022,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3503421,TRUCHAS MDWCA,L,TRUCHAS,RIO ARRIBA,GW,629,150000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,30022.3,Yes,Yes,.62469673,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590228,BOSQUE DEL APACHE NATIONAL WILDLIFE REFU,F,SAN ANTONIO,SOCORRO,GWP,60,0,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510623,ALBUQUERQUE NORTH KOA,P,BERNALILLO,SANDOVAL,GW,80,1000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3519803,GREENFIELD MDWCA,L,HAGERMAN,CHAVES,GW,213,115000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,40598,Yes,Yes,.84475332,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3591309,BURRO MOUNTAIN HOMESTEAD,P,SILVER CITY,GRANT,GW,419,48000,C,Yes,4,1,0,0,0,0,0,Ground,,,,,0,,1,43824,Yes,Yes,.91187912,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3509924,SOUTHSIDE MUTUAL DOMESTIC WATER,L,AZTEC,SAN JUAN,SWP,1523,200000,C,Yes,0,0,1,1,0,1,0,Surface,,,,,0,,1,66879.8,Yes,Yes,1.3916186,Non-Disadvantaged,,,,,,,,,,,,0,NM3509824,AZTEC DOMESTIC WATER SYSTEM,5960,,,,A,Yes,9,9,,Direct Impact with No Alternative Sources of Water
NM3591514,TINNIES SILVER DOLLAR RESTAURANT,P,TINNIE,LINCOLN,GW,100,2500,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3533526,CUATRO VILLAS MDWCA,L,ESPANOLA,SANTA FE,GWP,420,670000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,36024.8,Yes,Yes,.74959528,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3515918,AGUA NEGRA MDWCA,L,HOLMAN,MORA,GW,242,50000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,26968,Yes,Yes,.56114358,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581126,POJOAQUE VALLEY SCHOOL DISTRICT,L,POJOAQUE,SANTA FE,GW,1500,300000,NTNC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581604,PHILMONT SCOUT RANCH - CYPHERS MINE OC,P,CIMARRON,COLFAX,GW,75,1250,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3582429,LA FONDA HOTEL,P,TAOS,TAOS,GW,37,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590714,SMOKEY BEAR R S  LINCOLN  USFS,F,RUIDOSO,LINCOLN,GW,180,16000,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3592023,PEREAS BAR AND RESTAURANT,P,CORRALES,SANDOVAL,GW,55,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500332,CORREO WATER ASSOCIATION,L,LAGUNA,VALENCIA,GW,166,20000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,37500,Yes,Yes,.7802909,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3580423,AMERICAN GYPSUM COMPANY (BERNALILLO PLAN,P,BERNALILLO,SANDOVAL,GW,100,500000,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500119,WEED WATER USERS ASSOCIATION,L,WEED,OTERO,GW,73,35000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,19334,Yes,Yes,.40229717,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500917,"PILOT TRAVEL CENTERS, LLC #305",P,JAMESTOWN,MCKINLEY,GWP,4000,80000,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590607,NASAJSC WHITE SANDS TEST FACILITY- FF,F,ORGAN,DONA ANA,GW,1800,1000000,NTNC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3592504,USFS CIMARRON CG/SHUREE PONDS,F,,COLFAX,GW,120,10000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3503501,ALTAMONTE LITTLE LEAGUE,L,ALBUQUERQUE,BERNALILLO,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501021,CHAMA WATER SYSTEM,L,CHAMA,RIO ARRIBA,SW,1573,950000,C,Yes,0,0,1,1,0,1,0,Surface,100,0,0,0,1,100,1,30585,Yes,Yes,.63640523,Severely Disadvantaged,3,2,0,1,3,0,2,1,3,1,1,1,,,,,,,,No,10,,,Direct Impact with No Alternative Sources of Water
NM3510118,FORT UNION NATIONAL MONUMENT USNPS,F,WATROUS,MORA,GW,38,57000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501113,WATER PROCESSING LLC WATER HAULING,P,HOBBS,LEA,GWP,99,0,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501101,MOUNTAINSIDE UNITED METHODIST,P,CEDAR CREST,BERNALILLO,GW,150,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3507429,TALPA MDWCA,L,TAOS,TAOS,GW,700,230000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,42636,Yes,Yes,.88715953,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3599801,CEDAR CREST MDWC & SWA,L,CEDAR CREST,BERNALILLO,GW,50,110000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,67459.39999999991,Yes,Yes,1.4036788,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590316,BOWLINS AKELA TRADING POST,P,DEMING,LUNA,GW,100,172,NC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3593629,CHEVRON MINING INC QUESTA MINE,P,QUESTA,TAOS,GW,300,605000,NTNC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3525533,MILAN COMMUNITY WATER SYSTEM,L,MILAN,CIBOLA,GW,3427,1750000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,45117.5,Yes,Yes,.93879396,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500302,DATIL ELEMENTARY SCHOOL,L,DATIL,CATRON,GW,30,0,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501209,CALVARY CHAPEL,P,SILVER CITY,GRANT,GW,365,0,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3575801,TIJERAS WATER COOPERATIVE,P,TIJERAS,BERNALILLO,GW,139,106000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,75116,Yes,Yes,1.5629954,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590704,THAXTON REST AREA,S,RATON,COLFAX,GW,150,850,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3583404,PHILMONT SCOUT RANCH - ZASTRO OUTCAMP,P,,COLFAX,GW,75,3750,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3509232,BOSQUE GARDENS MDWCA,L,PERALTA,VALENCIA,GW,130,100000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,43359.1,Yes,Yes,.90220565,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500623,VISTA DE ORO DE PLACITAS WATER USERS COO,P,PLACITAS,SANDOVAL,GW,158,30000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,67857,Yes,Yes,1.411952,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3504221,MESA SHOPPING CENTER,P,ESPANOLA,RIO ARRIBA,GW,28,0,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3550019,DUNGAN MDWCA,L,ALAMOGORDO,OTERO,GW,39,25000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,38615,Yes,Yes,.80349153,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3524832,RIO COMMUNITIES WATER SYSTEM,P,BELEN,VALENCIA,GW,5374,1500000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3540007,ST JOHNS MHP,P,LAS CRUCES,DONA ANA,GW,490,0,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,32219,Yes,Yes,.67040515,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3594229,TALL PINES RESORT,P,RED RIVER,TAOS,GW,100,0,NC,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590828,FORT CRAIG REST AREA  WEST SIDE,S,SAN ANTONIO,SOCORRO,GW,300,3000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3558014,ALPINE VILLAGE W AND SD,P,RUIDOSO,LINCOLN,GW,294,78000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,50313,Yes,Yes,1.0469006,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501419,BREWER,P,ALAMOGORDO,OTERO,GW,200,100,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3596433,EL MORRO NATIONAL MONUMENT,F,GRANTS,CIBOLA,GW,133,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3587401,MESA DE SHARFI RESTAURANTE,P,ALBUQUERQUE,BERNALILLO,GW,120,42,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510201,SOUTH HILLS WATER COMPANY,P,ALBUQUERQUE,BERNALILLO,GW,506,150000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,35263,Yes,Yes,.73374397,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590022,OASIS STATE PARK,S,PORTALES,ROOSEVELT,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501127,DAM SITE HISTORIC DISTRICT,L,ELEPHANT BUTTE,SIERRA,GWP,10,6600,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3598526,SUNRISE SPRINGS INTEGRATIVE WELLNESS RES,P,SANTA FE,SANTA FE,GW,35,50280,NTNC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3595333,CUBERO ELEMENTARY SCHOOL,L,CUBERO,CIBOLA,GW,240,66050,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500326,"EPCOR WATER NEW MEXICO INC., EDGEWOOD",P,EDGEWOOD,SANTA FE,GW,4700,2038500,C,Yes,4,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510707,CBG WATER COMPANY,P,CHAPARRAL,DONA ANA,GW,1357,165000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,32054,Yes,Yes,.66697186,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500216,STAGECOACH RV RANCH,P,DEMING,LUNA,GW,25,2665,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,27836,Yes,Yes,.57920474,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3591816,YUCCA REST AREA-STATE HWY DEPT,S,LORDSBURG,HIDALGO,GW,164,10209,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3539807,LAS CRUCES MOBILE HOME PARK,P,LAS CRUCES,DONA ANA,GW,166,0,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,31329,Yes,Yes,.65188622,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581104,PHILMONT SCOUT RANCH - BENT OUTCAMP,P,CIMARRON,COLFAX,GW,150,5000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3525332,LOS LUNAS WATER SYSTEM,L,LOS LUNAS,VALENCIA,GW,18289,4030000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,57798.1,Yes,Yes,1.2026489,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3509032,MONTEREY WATER COMPANY INC.,P,LOS LUNAS,VALENCIA,GW,1208,180000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,31752,Yes,Yes,.66068792,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3592016,HIDDEN VALLEY RANCH,P,DEMING,LUNA,GW,452,12000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,27962,Yes,Yes,.58182651,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3518525,RIBERA MDWCA,L,RIBERA,SAN MIGUEL,GW,200,20000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,31134,Yes,Yes,.6478287,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581729,GUADALAJARA SOUTH,P,TAOS,TAOS,GW,50,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581004,PHILMONT SCOUT RANCH - BEAUBIEN OUTCAMP,P,,COLFAX,GW,150,10000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500104,SPRINGER CORRECTIONAL FACILITY,S,SPRINGER,COLFAX,SWP,350,439000,NTNC,Yes,0,0,1,1,0,1,0,Surface,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,NM3526604,SPRINGER WATER SYSTEM,1363,,,,A,Yes,9,9,,Direct Impact Non-Community Water System
NM3543723,SILE MDWCA,L,PENA BLANCA,SANDOVAL,GW,154,50000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,39221.4,Yes,Yes,.81610936,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3509523,REGINA MDWCA,L,REGINA,SANDOVAL,GW,637,240000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,36286,Yes,Yes,.75503027,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510020,LIBERTY MDWCA,L,TUCUMCARI,QUAY,GWP,266,50000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,22806.5,Yes,Yes,.47455212,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3530414,ALTO MOUNTAIN VILLAGE,P,ALTO,LINCOLN,GW,172,70600,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,41794,Yes,Yes,.8696394,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510016,PEOPLES WATER COOP,P,DEMING,LUNA,GW,76,25211,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,27962,Yes,Yes,.58182651,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3502207,CHUCKYS FOOD MART,P,DONA ANA,DONA ANA,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590923,CORRALES ELEMENTARY SCHOOL,L,CORRALES,SANDOVAL,GW,565,0,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3502707,I10 BORDER CHECK,F,LAS CRUCES,DONA ANA,GW,38,1000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590616,DESERT VISTA RV VILLAGE,P,DEMING,LUNA,GW,220,210,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,27962,Yes,Yes,.58182651,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3511701,TIERRA WEST ESTATES MHP,P,ALBUQUERQUE,BERNALILLO,GW,1447,330000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,31338,Yes,Yes,.6520735,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3502826,BUCKMAN REGIONAL WATER TREATMENT PLANT,L,SANTA FE,SANTA FE,SW,0,4000000,C,Yes,0,0,1,1,0,1,0,Surface,100,0,0,0,1,100,1,,No,Yes,,,1,1,0,0,1,0,1,0,1,1,1,1,,,,,,,,No,9,,,Direct Impact with No Alternative Sources of Water
NM3502921,LOS OJOS MDWCA,L,LOS OJOS,RIO ARRIBA,GW,237,30000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,30585,Yes,Yes,.63640523,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3565508,PECOS MOBILE HOME PARK,P,CARLSBAD,EDDY,GW,86,0,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,62266,Yes,Yes,1.2956158,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590921,BRAZOS MDWCA,P,CHAMA,RIO ARRIBA,GW,389,92000,NC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,30585,Yes,Yes,.63640523,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3511019,CLOUD COUNTRY WEST WATER SYSTEM,L,ALAMOGORDO,OTERO,GW,663,79000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,53979,Yes,Yes,1.1231819,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590505,CLOVIS MUNICIPAL AIRPORT,L,CLOVIS,CURRY,GW,25,233600,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590702,GILA VISITOR CENTER-NPS GICL,F,GILA,CATRON,GW,219,55000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3523202,PIE TOWN MDWCA,L,PIE TOWN,CATRON,GW,122,40000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,42480,Yes,Yes,.88391352,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3596721,STONEHOUSE LODGE,P,RUTHERON,RIO ARRIBA,GW,35,3900,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500203,MIDWAY RV PARK,P,DEXTER,CHAVES,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3580514,HIGH SIERRA ESTATES WATER ASSN,P,ALTO,LINCOLN,GW,129,66000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,41794,Yes,Yes,.8696394,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3531904,VILLAGE OF ANGEL FIRE,L,ANGEL FIRE,COLFAX,GW,6045,2917500,C,Yes,4,1,0,0,0,0,0,Ground,,,,,0,,1,41074,Yes,Yes,.85465783,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510029,VIGILS TRAILER PARK,P,TAOS,TAOS,GW,105,0,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,34894,Yes,Yes,.72606587,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3562101,THE RINCON WATER COOPERATIVE,L,CEDAR CREST,BERNALILLO,GW,276,32500,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,61090,Yes,Yes,1.2711459,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501009,MIMBRES ADMINISTRATIVE SITE - USFS,F,MIMBRES,GRANT,GW,30,20000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3592725,CAMP BLUE HAVEN,P,LAS VEGAS,SAN MIGUEL,GW,150,10000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501725,EL CRESTON MDWCA,L,LAS VEGAS,SAN MIGUEL,SWP,50,41600,C,Yes,1,1,1,1,0,1,0,Surface and Ground,,,,,0,,1,35019,Yes,Yes,.72866684,Severely Disadvantaged,,,,,,,,,,,,0,NM3518025,LAS VEGAS (CITY OF),18044,,,,A,Yes,4,4,,Direct Impact with Alternative Sources of Water
NM3592219,CHALET CAMPER VILLAGE,P,CLOUDCROFT,OTERO,GW,222,10000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3529207,LAKE SECTION WATER COMPANY,P,CHAPARRAL,DONA ANA,GW,12079,1440000,C,Yes,7,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590504,RATON PASS CAMP,P,RATON,COLFAX,GW,35,40000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3564319,WATERFALL COMMUNITY WUA,L,CLOUDCROFT,OTERO,GW,295,45000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,53979,Yes,Yes,1.1231819,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3515310,VAUGHN DURAN WATER SYSTEM,L,VAUGHN,GUADALUPE,GW,785,610000,C,Yes,4,1,0,0,0,0,0,Ground,,,,,0,,1,24085,Yes,Yes,.50115484,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3526804,ANGEL NEST APARTMENTS,P,ANGEL FIRE,COLFAX,GW,60,10000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,41074,Yes,Yes,.85465783,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
